feature_id,table_name,feature,data_type,grain,category,business_definition,calculation,role,modeling_usage,caution,documentation_status
df_customers.purchase_share_grp1_Service Contracts,df_customers,purchase_share_grp1_Service Contracts,float64,customer,Product history,Share of the customer's historical units belonging to Service Contracts at grp1 level.,SUM(Units for Service Contracts) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Calibration Kits Type 1,df_customers,purchase_share_grp3_Calibration Kits Type 1,float64,customer,Product history,Share of the customer's historical units belonging to Calibration Kits Type 1 at grp3 level.,SUM(Units for Calibration Kits Type 1) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Calibration Kits Type 2,df_customers,purchase_share_grp3_Calibration Kits Type 2,float64,customer,Product history,Share of the customer's historical units belonging to Calibration Kits Type 2 at grp3 level.,SUM(Units for Calibration Kits Type 2) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Compliance Safety Type 1,df_customers,purchase_share_grp3_Compliance Safety Type 1,float64,customer,Product history,Share of the customer's historical units belonging to Compliance Safety Type 1 at grp3 level.,SUM(Units for Compliance Safety Type 1) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Compliance Safety Type 2,df_customers,purchase_share_grp3_Compliance Safety Type 2,float64,customer,Product history,Share of the customer's historical units belonging to Compliance Safety Type 2 at grp3 level.,SUM(Units for Compliance Safety Type 2) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Controllers Type 1,df_customers,purchase_share_grp3_Controllers Type 1,float64,customer,Product history,Share of the customer's historical units belonging to Controllers Type 1 at grp3 level.,SUM(Units for Controllers Type 1) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Controllers Type 2,df_customers,purchase_share_grp3_Controllers Type 2,float64,customer,Product history,Share of the customer's historical units belonging to Controllers Type 2 at grp3 level.,SUM(Units for Controllers Type 2) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Core Advanced Type 1,df_customers,purchase_share_grp3_Core Advanced Type 1,float64,customer,Product history,Share of the customer's historical units belonging to Core Advanced Type 1 at grp3 level.,SUM(Units for Core Advanced Type 1) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Core Advanced Type 2,df_customers,purchase_share_grp3_Core Advanced Type 2,float64,customer,Product history,Share of the customer's historical units belonging to Core Advanced Type 2 at grp3 level.,SUM(Units for Core Advanced Type 2) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Core Basic Type 1,df_customers,purchase_share_grp3_Core Basic Type 1,float64,customer,Product history,Share of the customer's historical units belonging to Core Basic Type 1 at grp3 level.,SUM(Units for Core Basic Type 1) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Core Basic Type 2,df_customers,purchase_share_grp3_Core Basic Type 2,float64,customer,Product history,Share of the customer's historical units belonging to Core Basic Type 2 at grp3 level.,SUM(Units for Core Basic Type 2) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Core Replacement Type 1,df_customers,purchase_share_grp3_Core Replacement Type 1,float64,customer,Product history,Share of the customer's historical units belonging to Core Replacement Type 1 at grp3 level.,SUM(Units for Core Replacement Type 1) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Core Replacement Type 2,df_customers,purchase_share_grp3_Core Replacement Type 2,float64,customer,Product history,Share of the customer's historical units belonging to Core Replacement Type 2 at grp3 level.,SUM(Units for Core Replacement Type 2) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Extended Support Type 1,df_customers,purchase_share_grp3_Extended Support Type 1,float64,customer,Product history,Share of the customer's historical units belonging to Extended Support Type 1 at grp3 level.,SUM(Units for Extended Support Type 1) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Extended Support Type 2,df_customers,purchase_share_grp3_Extended Support Type 2,float64,customer,Product history,Share of the customer's historical units belonging to Extended Support Type 2 at grp3 level.,SUM(Units for Extended Support Type 2) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Facility Safety Type 2,df_customers,purchase_share_grp3_Facility Safety Type 2,float64,customer,Product history,Share of the customer's historical units belonging to Facility Safety Type 2 at grp3 level.,SUM(Units for Facility Safety Type 2) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Installation Type 1,df_customers,purchase_share_grp3_Installation Type 1,float64,customer,Product history,Share of the customer's historical units belonging to Installation Type 1 at grp3 level.,SUM(Units for Installation Type 1) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Installation Type 2,df_customers,purchase_share_grp3_Installation Type 2,float64,customer,Product history,Share of the customer's historical units belonging to Installation Type 2 at grp3 level.,SUM(Units for Installation Type 2) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Monitoring Type 1,df_customers,purchase_share_grp3_Monitoring Type 1,float64,customer,Product history,Share of the customer's historical units belonging to Monitoring Type 1 at grp3 level.,SUM(Units for Monitoring Type 1) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Monitoring Type 2,df_customers,purchase_share_grp3_Monitoring Type 2,float64,customer,Product history,Share of the customer's historical units belonging to Monitoring Type 2 at grp3 level.,SUM(Units for Monitoring Type 2) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Personal Safety Type 1,df_customers,purchase_share_grp3_Personal Safety Type 1,float64,customer,Product history,Share of the customer's historical units belonging to Personal Safety Type 1 at grp3 level.,SUM(Units for Personal Safety Type 1) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Personal Safety Type 2,df_customers,purchase_share_grp3_Personal Safety Type 2,float64,customer,Product history,Share of the customer's historical units belonging to Personal Safety Type 2 at grp3 level.,SUM(Units for Personal Safety Type 2) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Premium Custom Type 1,df_customers,purchase_share_grp3_Premium Custom Type 1,float64,customer,Product history,Share of the customer's historical units belonging to Premium Custom Type 1 at grp3 level.,SUM(Units for Premium Custom Type 1) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Premium Custom Type 2,df_customers,purchase_share_grp3_Premium Custom Type 2,float64,customer,Product history,Share of the customer's historical units belonging to Premium Custom Type 2 at grp3 level.,SUM(Units for Premium Custom Type 2) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Premium Plus Type 1,df_customers,purchase_share_grp3_Premium Plus Type 1,float64,customer,Product history,Share of the customer's historical units belonging to Premium Plus Type 1 at grp3 level.,SUM(Units for Premium Plus Type 1) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Premium Plus Type 2,df_customers,purchase_share_grp3_Premium Plus Type 2,float64,customer,Product history,Share of the customer's historical units belonging to Premium Plus Type 2 at grp3 level.,SUM(Units for Premium Plus Type 2) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Premium Standard Type 1,df_customers,purchase_share_grp3_Premium Standard Type 1,float64,customer,Product history,Share of the customer's historical units belonging to Premium Standard Type 1 at grp3 level.,SUM(Units for Premium Standard Type 1) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Premium Standard Type 2,df_customers,purchase_share_grp3_Premium Standard Type 2,float64,customer,Product history,Share of the customer's historical units belonging to Premium Standard Type 2 at grp3 level.,SUM(Units for Premium Standard Type 2) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Preventive Kits Type 1,df_customers,purchase_share_grp3_Preventive Kits Type 1,float64,customer,Product history,Share of the customer's historical units belonging to Preventive Kits Type 1 at grp3 level.,SUM(Units for Preventive Kits Type 1) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Preventive Kits Type 2,df_customers,purchase_share_grp3_Preventive Kits Type 2,float64,customer,Product history,Share of the customer's historical units belonging to Preventive Kits Type 2 at grp3 level.,SUM(Units for Preventive Kits Type 2) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Repair Kits Type 1,df_customers,purchase_share_grp3_Repair Kits Type 1,float64,customer,Product history,Share of the customer's historical units belonging to Repair Kits Type 1 at grp3 level.,SUM(Units for Repair Kits Type 1) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Repair Kits Type 2,df_customers,purchase_share_grp3_Repair Kits Type 2,float64,customer,Product history,Share of the customer's historical units belonging to Repair Kits Type 2 at grp3 level.,SUM(Units for Repair Kits Type 2) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Sensors Type 1,df_customers,purchase_share_grp3_Sensors Type 1,float64,customer,Product history,Share of the customer's historical units belonging to Sensors Type 1 at grp3 level.,SUM(Units for Sensors Type 1) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Sensors Type 2,df_customers,purchase_share_grp3_Sensors Type 2,float64,customer,Product history,Share of the customer's historical units belonging to Sensors Type 2 at grp3 level.,SUM(Units for Sensors Type 2) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Training Type 1,df_customers,purchase_share_grp3_Training Type 1,float64,customer,Product history,Share of the customer's historical units belonging to Training Type 1 at grp3 level.,SUM(Units for Training Type 1) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp3_Training Type 2,df_customers,purchase_share_grp3_Training Type 2,float64,customer,Product history,Share of the customer's historical units belonging to Training Type 2 at grp3 level.,SUM(Units for Training Type 2) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.F_frequency_m,df_customers,F_frequency_m,int64,customer,RFM,RFM frequency component measured in active months.,F_frequency_m = active_months.,Engineered feature,,,Exact
df_customers.M_sales,df_customers,M_sales,float64,customer,RFM,RFM monetary component measured as cumulative sales.,M_sales = Sales.,Engineered feature,,,Exact
df_customers.R_recency_m,df_customers,R_recency_m,int64,customer,RFM,RFM recency component in months.,R_recency_m = months_since_last_purchase.,Engineered feature,,,Exact
df_customers.months_since_last_purchase,df_customers,months_since_last_purchase,int64,customer,Recency,Months between the dataset's latest sales month and the customer's last purchase month.,"global_max_sales_month_ordinal - customer_last_month_ordinal, minimum 0.",Engineered feature,,,Exact
df_customers.sales_without_recent_sf_activity,df_customers,sales_without_recent_sf_activity,int64,customer,Sales activation,Customer purchased recently but had no recent Salesforce activity.,"1 if active_in_last_6m = 1 and sf_active_in_last_6m = 0, otherwise 0.",Engineered feature,,,Exact
df_customers.sf_activity_without_recent_sales,df_customers,sf_activity_without_recent_sales,int64,customer,Sales activation,Customer had recent Salesforce activity but no recent purchase.,"1 if sf_active_in_last_6m = 1 and active_in_last_6m = 0, otherwise 0.",Engineered feature,,,Exact
df_customers.has_salesforce_activity,df_customers,has_salesforce_activity,int64,customer,Salesforce activity,Flag indicating any recorded Salesforce activity.,"1 if sf_total_events > 0, otherwise 0.",Engineered feature,,,Exact
df_customers.sf_active_in_last_12m,df_customers,sf_active_in_last_12m,int64,customer,Salesforce activity,Flag for Salesforce activity near the latest twelve-month cutoff.,"1 if any SF month ordinal >= global_max_SF_month_ordinal - 12, otherwise 0.",Engineered feature,,,Exact
df_customers.sf_active_in_last_3m,df_customers,sf_active_in_last_3m,int64,customer,Salesforce activity,Flag for recent Salesforce activity using the notebook's three-month cutoff.,"1 if any SF month ordinal >= global_max_SF_month_ordinal - 3, otherwise 0.",Engineered feature,,The implementation includes the maximum month plus the prior three ordinal months.,Exact
df_customers.sf_active_in_last_6m,df_customers,sf_active_in_last_6m,int64,customer,Salesforce activity,Flag for Salesforce activity near the latest six-month cutoff.,"1 if any SF month ordinal >= global_max_SF_month_ordinal - 6, otherwise 0.",Engineered feature,,,Exact
df_customers.sf_active_months,df_customers,sf_active_months,int64,customer,Salesforce activity,Number of distinct months containing Salesforce activity.,NUNIQUE(Salesforce YearMonth) by ID_Customer.,Engineered feature,,,Exact
df_customers.sf_activity_ratio_lifetime,df_customers,sf_activity_ratio_lifetime,float64,customer,Salesforce activity,Share of Salesforce-lifetime months with activity.,"sf_active_months / sf_lifetime_months, clipped to [0, 1].",Engineered feature,,,Exact
df_customers.sf_events_per_active_month,df_customers,sf_events_per_active_month,float64,customer,Salesforce activity,Average Salesforce events per active Salesforce month.,sf_total_events / sf_active_months; zero if denominator is zero.,Engineered feature,,,Exact
df_customers.sf_total_activity_time,df_customers,sf_total_activity_time,float64,customer,Salesforce activity,Total recorded Salesforce activity time.,SUM(SF_Activity_Time_) by ID_Customer.,Engineered feature,,,Exact
df_customers.sf_total_events,df_customers,sf_total_events,int64,customer,Salesforce activity,Total Salesforce activity-event count.,SUM(SF_Activity_Count) by ID_Customer.,Engineered feature,,,Exact
df_customers.sf_total_selling_time,df_customers,sf_total_selling_time,float64,customer,Salesforce activity,Total recorded Salesforce selling time.,SUM(SF_Selling_Time) by ID_Customer.,Engineered feature,,,Exact
df_customers.recency_segment,df_customers,recency_segment,object,customer,Segmentation,Categorical recency band.,"pd.cut(months_since_last_purchase, bins [-1,1,3,6,99]) with Very Recent, Recent, Cooling, Inactive.",Engineered feature,,,Exact
df_customers.sales_value_segment,df_customers,sales_value_segment,object,customer,Segmentation,Customer quartile based on cumulative historical sales.,"pd.qcut(Sales, 4) with labels Low Value, Mid Value, High Value, Top Value.",Engineered feature,,,Exact
df_customers.lifetime_months,df_customers,lifetime_months,int64,customer,Tenure,Inclusive number of months from first to last purchase.,"last_purchase_month_ordinal - first_purchase_month_ordinal + 1, minimum 1.",Engineered feature,,,Exact
df_customers.Units,df_customers,Units,int64,customer,Volume,Historical quantity purchased.,In df_sales_full: units on the row. At customer grain: SUM(Units) across all historical rows.,Model input,,,Exact
df_sales_full.Acquisition_Channel,df_sales_full,Acquisition_Channel,object,customer-date-product sales row,Customer attribute,Channel through which the customer was acquired.,Source customer master-data field.,Raw input,,,Exact
df_sales_full.Customer_Name,df_sales_full,Customer_Name,object,customer-date-product sales row,Customer attribute,Customer display name.,Source customer master-data field.,Raw input,Not used as a model feature.,,Exact
df_sales_full.Customer_Segment,df_sales_full,Customer_Segment,object,customer-date-product sales row,Customer attribute,"Commercial customer segment such as SMB, Mid-Market, Enterprise, or Distributor.",Source customer master-data field; latest non-null value is used for value_segment.,Raw input,,,Exact
df_sales_full.Customer_Size,df_sales_full,Customer_Size,object,customer-date-product sales row,Customer attribute,Categorical customer-size classification.,Source customer master-data field.,Raw input,,,Exact
df_sales_full.Customer_Start_Date,df_sales_full,Customer_Start_Date,object,customer-date-product sales row,Customer attribute,Date on which the customer relationship started.,Source customer master-data field.,Raw input,,,Exact
df_sales_full.Industry,df_sales_full,Industry,object,customer-date-product sales row,Customer attribute,Customer industry classification.,Source customer master-data field.,Raw input,,,Exact
df_sales_full.Sales,df_sales_full,Sales,float64,customer-date-product sales row,Customer value,Historical sales value.,In df_sales_full: recorded sales value on the row. At customer grain: SUM(Sales) across all historical rows.,Model input,"Used as customer-value history, never as future revenue.",,Exact
df_sales_full.Country,df_sales_full,Country,object,customer-date-product sales row,Geography,Customer country.,Source customer master-data field.,Raw input,,,Exact
df_sales_full.Region_CC,df_sales_full,Region_CC,object,customer-date-product sales row,Geography,Commercial-region classification.,Source customer master-data field.,Raw input,,,Exact
df_sales_full.Region_OC,df_sales_full,Region_OC,object,customer-date-product sales row,Geography,Operating-country or organizational-region classification.,Source customer master-data field.,Raw input,,,Exact
df_sales_full.ID_Customer,df_sales_full,ID_Customer,object,customer-date-product sales row,Identifier,Unique customer identifier.,Source-system customer key; no calculation.,Key,Excluded from model features; used for joins and output grain.,,Exact
df_sales_full.ID_Product,df_sales_full,ID_Product,object,customer-date-product sales row,Identifier,Unique product/SKU identifier.,Source-system product key; no calculation.,Key,,,Exact
df_sales_full.Product_Name,df_sales_full,Product_Name,object,customer-date-product sales row,Product attribute,Product/SKU display name.,Source product master-data field.,Raw input,,,Exact
df_sales_full.Prd_Grp_1,df_sales_full,Prd_Grp_1,object,customer-date-product sales row,Product hierarchy,Broad product-group level used for category recommendations.,Source product master-data field.,Raw input,,,Exact
df_sales_full.Prd_Grp_2,df_sales_full,Prd_Grp_2,object,customer-date-product sales row,Product hierarchy,Intermediate product-group level.,Source product master-data field.,Raw input,,,Exact
df_sales_full.Prd_Grp_3,df_sales_full,Prd_Grp_3,object,customer-date-product sales row,Product hierarchy,Granular product-group level used for detailed recommendations.,Source product master-data field.,Raw input,,,Exact
df_sales_full.Prod_Line,df_sales_full,Prod_Line,object,customer-date-product sales row,Product hierarchy,Highest product-line classification available in the sales table.,Source product master-data field.,Raw input,,,Exact
df_sales_full.Margin_Category,df_sales_full,Margin_Category,object,customer-date-product sales row,Profitability,Categorical margin classification for the product.,Source product/sales field.,Raw input,,,Exact
df_sales_full.Unit_Price,df_sales_full,Unit_Price,float64,customer-date-product sales row,Sales value,Reference or realized unit price stored on the sales row.,Source sales field.,Raw input,,,Exact
df_sales_full.Date,df_sales_full,Date,object,customer-date-product sales row,Time,Date attached to the sales observation.,Parsed with pd.to_datetime(Date).,Raw input,,,Exact
df_sales_full.Month,df_sales_full,Month,int64,customer-date-product sales row,Time,Calendar month number from 1 to 12.,Month = Date.month.,Derived input,,,Exact
df_sales_full.Year,df_sales_full,Year,int64,customer-date-product sales row,Time,Calendar year of the observation.,Year = Date.year.,Derived input,,,Exact
df_sales_full.YearMonth,df_sales_full,YearMonth,object,customer-date-product sales row,Time,Calendar month of the observation.,Date converted to monthly period: Date.dt.to_period('M').,Derived input,,,Exact
df_sales_full.Units,df_sales_full,Units,int64,customer-date-product sales row,Volume,Historical quantity purchased.,In df_sales_full: units on the row. At customer grain: SUM(Units) across all historical rows.,Model input,,,Exact
expected_value_quality.metric,expected_value_quality,metric,object,quality metric,Data quality,Name of a quality-control metric.,Static metric label.,Diagnostic,,,Exact
expected_value_quality.value,expected_value_quality,value,float64,quality metric,Data quality,Observed value of a quality-control metric.,Calculated value associated with metric.,Diagnostic,,,Exact
lead_generation_final.active_months,lead_generation_final,active_months,int64,customer,Activity,Number of distinct historical purchase months.,NUNIQUE(YearMonth) by ID_Customer.,Engineered feature,,,Exact
lead_generation_final.activity_ratio_lifetime,lead_generation_final,activity_ratio_lifetime,float64,customer,Activity,Share of customer-lifetime months containing a purchase.,"active_months / lifetime_months, clipped to [0, 1].",Engineered feature,,,Exact
lead_generation_final.cluster,lead_generation_final,cluster,int64,customer,Cohort,Numeric cluster assigned to the customer.,AgglomerativeClustering with Ward linkage and FINAL_K = 5 on standardized/encoded customer features.,Model output,Used as customer context in recommendation and reporting.,,Exact
lead_generation_final.cohort_ML,lead_generation_final,cohort_ML,object,customer,Cohort,Business-readable cohort label mapped from the numeric cluster.,"Rule-based label from cluster-level sales, activity, recency, product breadth, and Salesforce quantiles.",Model output,,,Exact
lead_generation_final.customer_lead_tier,lead_generation_final,customer_lead_tier,category,customer,Customer priority,Customer-level priority tier based on the best recommendation.,"qcut(rank(customer_top_lead_score), 40% Cold / 40% Warm / 20% Hot) across customers.",Business output,,,Exact
lead_generation_final.customer_top_lead_score,lead_generation_final,customer_top_lead_score,float64,customer,Customer priority,Lead score of the customer's best recommendation.,lead_score where lead_rank_per_customer = 1.,Business output,,,Exact
lead_generation_final.lead_top1_tier,lead_generation_final,lead_top1_tier,category,customer,Customer priority,Backward-compatible alias for customer_lead_tier.,lead_top1_tier = customer_lead_tier.,Business output,,,Exact
lead_generation_final.Sales,lead_generation_final,Sales,float64,customer,Customer value,Historical sales value.,In df_sales_full: recorded sales value on the row. At customer grain: SUM(Sales) across all historical rows.,Model input,"Used as customer-value history, never as future revenue.",,Exact
lead_generation_final.avg_monthly_revenue,lead_generation_final,avg_monthly_revenue,float64,customer,Customer value,Average historical revenue per lifetime month.,Sales / lifetime_months; zero if denominator is zero.,Engineered feature,,,Exact
lead_generation_final.historical_ltv,lead_generation_final,historical_ltv,float64,customer,Customer value,Historical lifetime-value proxy equal to cumulative sales.,historical_ltv = Sales.,Engineered feature,,Historical value only; it is not predictive customer lifetime value.,Exact
lead_generation_final.customer_mean_event_value,lead_generation_final,customer_mean_event_value,float64,customer,Expected value,Customer's mean total historical value-event size.,MEAN(customer_event_value) by ID_Customer.,Engineered feature,,,Exact
lead_generation_final.customer_value_multiplier,lead_generation_final,customer_value_multiplier,float64,customer,Expected value,Capped customer buying-power adjustment applied to expected order value.,"customer_value_multiplier_raw filled with 1.0 and clipped to [0.50, 2.00].",Engineered feature,,,Exact
lead_generation_final.value_segment,lead_generation_final,value_segment,object,customer,Expected value,Peer segment used to estimate order value.,Latest Customer_Segment; fallback to cohort_ML; final fallback 'Unknown'.,Intermediate feature,,,Exact
lead_generation_final.customer_value_events,lead_generation_final,customer_value_events,int64,customer,Expected value support,Number of historical value events observed for the customer.,COUNT(customer_event_value) by ID_Customer.,Diagnostic,,,Exact
lead_generation_final.ID_Customer,lead_generation_final,ID_Customer,object,customer,Identifier,Unique customer identifier.,Source-system customer key; no calculation.,Key,Excluded from model features; used for joins and output grain.,,Exact
lead_generation_final.months_since_last_purchase,lead_generation_final,months_since_last_purchase,int64,customer,Recency,Months between the dataset's latest sales month and the customer's last purchase month.,"global_max_sales_month_ordinal - customer_last_month_ordinal, minimum 0.",Engineered feature,,,Exact
lead_generation_final.sf_active_months,lead_generation_final,sf_active_months,int64,customer,Salesforce activity,Number of distinct months containing Salesforce activity.,NUNIQUE(Salesforce YearMonth) by ID_Customer.,Engineered feature,,,Exact
lead_generation_final.sf_total_events,lead_generation_final,sf_total_events,int64,customer,Salesforce activity,Total Salesforce activity-event count.,SUM(SF_Activity_Count) by ID_Customer.,Engineered feature,,,Exact
lead_generation_final.lead_top1_expected_order_value,lead_generation_final,lead_top1_expected_order_value,float64,customer,Wide lead output,Expected order value for final lead recommendation 1.,Pivoted from expected_order_value where lead_rank_per_customer = 1.,Business output,,,Exact
lead_generation_final.lead_top1_expected_revenue,lead_generation_final,lead_top1_expected_revenue,float64,customer,Wide lead output,Expected revenue proxy for final lead recommendation 1.,Pivoted from expected_revenue where lead_rank_per_customer = 1.,Business output,,,Exact
lead_generation_final.lead_top1_model_probability,lead_generation_final,lead_top1_model_probability,float64,customer,Wide lead output,Model affinity score for final lead recommendation 1.,Pivoted from model_probability where lead_rank_per_customer = 1.,Business output,,,Exact
lead_generation_final.lead_top1_product,lead_generation_final,lead_top1_product,object,customer,Wide lead output,Recommended product for final lead recommendation 1.,Pivoted from recommended_product where lead_rank_per_customer = 1.,Business output,,,Exact
lead_generation_final.lead_top1_product_group,lead_generation_final,lead_top1_product_group,object,customer,Wide lead output,Product-hierarchy label for final lead recommendation 1.,Pivoted from product_group where lead_rank_per_customer = 1.,Business output,,,Exact
lead_generation_final.lead_top1_reason,lead_generation_final,lead_top1_reason,object,customer,Wide lead output,Lead explanation for final lead recommendation 1.,Pivoted from hot_reason where lead_rank_per_customer = 1.,Business output,,,Exact
lead_generation_final.lead_top1_recommendation_tier,lead_generation_final,lead_top1_recommendation_tier,category,customer,Wide lead output,Recommendation-level tier for final lead recommendation 1.,Pivoted from recommendation_tier where lead_rank_per_customer = 1.,Business output,,,Exact
